label,bout,start_s,end_s,movement_time_s,displacement_px,path_length_px,straightness,peak_speed_px_s,mean_speed_px_s,sparc,ldj
S,1,0.06664441972562106,0.3498832035595106,0.2832387838338895,26.56582842306652,26.74717316521679,0.9932200408233758,110.40270582544589,91.3645956736265,-10.112243707276791,-3.950771812660692
S,2,1.6327882832777159,1.9326881720430107,0.29989988876529483,7.515800997801602,11.617214831976108,0.6469537756256808,53.95477499919433,36.29633477522037,-9.533043307164078,-6.942598639662387
S,3,1.949349276974416,2.3492157953281425,0.39986651835372644,15.572873136289113,20.09278360360488,0.7750480691732109,90.2596291921202,48.161256927169795,-9.68057324129019,-7.785255158857625
S,4,3.4155265109380792,3.8820374490174268,0.4665109380793475,41.7476517351936,42.90619423965172,0.9729982459412013,186.9999971585098,89.16557922171816,-4.555627346212889,-7.276466420281952
S,5,5.531486837226548,5.831386725991843,0.29989988876529505,26.168643095119283,26.34891040534086,0.9931584529512447,157.4260181092234,85.16417088703827,-12.903500507713634,-6.151694860435923
S,6,6.1979310344827585,6.564475342973674,0.3665443084909157,31.8537565388794,32.034167723413034,0.994368163827719,184.96212911821655,84.12117949311634,-5.550140781316866,-6.825010036133832
S,7,7.047647385984427,7.414191694475343,0.3665443084909157,28.240781683664977,30.17504565786102,0.9358985568364123,120.0433380876873,79.34208105353767,-8.11329162941717,-6.181051871565564
S,8,7.430852799406748,7.7807360029662584,0.34988320355951075,10.12245174826923,10.86119886619685,0.93198291210496,50.25925610977133,29.984544525659587,-11.082776694340232,-7.9497472918964585
S,9,7.964008157211716,8.263908045977011,0.29989988876529505,8.860355568787803,9.271342712147918,0.955671238123728,50.15054334981216,29.732992062679482,-6.412654413174455,-6.435938627240575
S,10,9.296896551724137,9.646779755283648,0.34988320355951075,15.169354868173125,15.7675913601328,0.9620591072982604,110.38661755319448,42.82601398064442,-8.432323690916263,-8.024121227713712
S,11,11.54614571746385,11.896028921023358,0.34988320355950897,21.024961241635175,22.369734549537565,0.9398842527646271,123.18373481860354,61.47032596115919,-5.788889966478761,-6.517763522357715
S,12,11.912690025954765,12.27923433444568,0.3665443084909157,35.720745789231756,36.543853440203094,0.9774761670298894,235.1403370170299,95.81452192692106,-5.425216079826308,-7.662815658321528
S,13,13.028984056358917,13.328883945124211,0.29989988876529416,16.614442099298998,16.8666337918489,0.9850478942234592,104.81952985326835,53.303084530991775,-9.731248841416683,-6.495415107584413
S,14,13.495494994438264,13.845378197997775,0.34988320355951075,3.4777786891604725,6.757895408800438,0.5146245212128544,35.7223959816082,18.69012281451958,-11.096045593203973,-7.55460668680979
