label,bout,fps,n_frames,frames_tracked,sparc,ldj,peak_speed_px_s,mean_speed_px_s,movement_time_s,displacement_px,window_start_s,window_end_s
H,1,60.30534351145038,158,158,-7.62297629292509,-6.753808039483188,532.6077243309516,367.2834101028952,0.9783544303797469,358.5151928642206,0.1160759493670886,1.0944303797468355
S,1,60.02002893067765,899,899,-11.434905225032606,-7.048553207456251,116.34669842001915,74.72594140742883,0.4331887282165369,32.18634621701511,0.2332554690396737,0.6664441972562106
S,2,60.02002893067765,899,899,-7.507222155239629,-7.717059911555618,107.51274634872705,61.258396976224674,0.549816462736374,33.444800851709175,0.8663774564330737,1.4161939191694477
S,3,60.02002893067765,899,899,-6.802119311455688,-7.410824513724084,209.42198035768902,94.38202677585143,0.44984983314794214,40.821112717126915,3.4988320355951057,3.948681868743048
S,4,60.02002893067765,899,899,-5.364135096680913,-6.730969349162903,126.58846913455226,63.27254054811987,0.3832054134223215,24.166711243363626,4.181937337782721,4.565142751205043
S,5,60.02002893067765,899,899,-7.817591274942718,-6.51023036679807,126.7579965934586,80.16080232511933,0.3832054134223206,31.395195833049304,5.431520207638116,5.814725621060437
S,6,60.02002893067765,899,899,-7.944809329964741,-8.881261792504922,195.70906101650795,68.32001048538483,0.49983314794215783,33.340059023837,6.064642195031516,6.564475342973674
S,7,60.02002893067765,899,899,-7.944809329964741,-8.881261792504922,195.70906101650795,68.32001048538483,0.49983314794215783,33.340059023837,6.064642195031516,6.564475342973674
S,8,60.02002893067765,899,899,-5.053720096873185,-6.385307745902675,129.64328355230285,73.05630549849394,0.39986651835372644,27.688905332673187,7.014325176121616,7.414191694475343
S,9,60.02002893067765,899,899,-7.539449031959047,-6.948703811618007,98.4101979689831,48.94854346689305,0.39986651835372733,18.1025897921199,8.5471468298109,8.947013348164628
S,10,60.02002893067765,899,899,-8.727554135634433,-9.890499745755916,115.4096621624823,40.03357335844731,0.5664775676677785,14.35397338928826,9.213591027067112,9.78006859473489
S,11,60.02002893067765,899,899,-8.727554135634433,-9.890499745755916,115.4096621624823,40.03357335844731,0.5664775676677785,14.35397338928826,9.213591027067112,9.78006859473489
